,product,title,rating,text
0,EOS 2000D Kit 18-55mm is II Spiegelreflexkamera,Trop bien,5.0,Je l ai reçu aujourd'hui et je m amuse comme une folle au grand dam de mon conjoint...Je ne m y connais pas mais j ai acheté un bouquin.. il est génial.. les photos sont magnifique.
1,EOS 2000D Kit 18-55mm is II Spiegelreflexkamera,Top (je confirme stabilisateur sur objectif),5.0,Parfait pour la livraison toujours au top !Pour ma commande EOS 2000D il est bien livré avec l'objectif 18-55 avec stabilisateur.Reste à tester cette merveille
2,EOS 2000D Kit 18-55mm is II Spiegelreflexkamera,Parfait pour un débutant,5.0,Très bon appareil photo.Je recommande.
3,EOS 2000D Kit 18-55mm is II Spiegelreflexkamera,Bien content,5.0,Très content du produit.Revu ce jour plusieurs essais ont été fait et ils sont réussi.Bien pour commencer la photographie car facile d'utilisation et simple.Je recommande.
